[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\CAT-3406-365K-2008.csplog
[F2] Split file series:       	CAT-.csplog
[F3] File serial number:      	-1
[F4] Id-Description file:     	<none>
[F9] plugin:                  	J1939; Version: 1.0.0; publisher: esd gmbh; library: J1939Plugin.dll
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	04.07.2017
[F8] File time:               	17:20:55
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	03000000
[S8] OS:                      	Unsupported Windows Version 6.2  (6,2,9200,2,[])
[S9] CANreal:                 	4.84
[SA] Features:                	0072 ( 2b Ts Lo )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time	Description	CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	Source	Raw PGN	Raw PGN Description	Dest	PGN	PGN Description	Details	Ext. Details	
         Num	Trig	     Abs	Msec	            Rel	                                    Desc	     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	SA      	Raw PGN     	Raw Descr.                                                  	DA      	PGN         	PGN Description                                             	Details                                                     	DetailsEx                                         	
           1	    	17:20:55	636.452	         18.452	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Õˇˇˇˇˇˇˇ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
           2	    	17:20:55	637.189	          0.737	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	94	31	FF	FF	FF	ˇˇˇî1ˇˇˇ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
           3	    	17:20:55	637.949	          0.760	                                        	 217945066	 00CFD93EA	L   	  8	D3	FF	FF	FF	FF	FF	FF	FF	”ˇˇˇˇˇˇˇ	234     	64915       	                                                            	GLOBAL  	64915       	                                                            	                                                            	                                                  	
           4	    	17:20:55	638.645	          0.696	                                        	 217972202	 00CFDFDEA	L   	  8	9C	01	EE	00	FF	FF	00	00	ú_Ó_ˇˇ__	234     	65021       	Generator Phase C Basic AC Quantities                       	GLOBAL  	65021       	Generator Phase C Basic AC Quantities                       	                                                            	Available                                         	
           5	    	17:20:55	639.405	          0.760	                                        	 218039018	 00CFF02EA	L   	  8	00	C8	00	00	FF	FF	FF	FF	_»__ˇˇˇˇ	234     	65282       	Proprietary B                                               	GLOBAL  	65282       	Proprietary B                                               	                                                            	                                                  	
           6	    	17:20:55	716.188	         76.783	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Õˇˇˇˇˇˇˇ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
           7	    	17:20:55	716.924	          0.736	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	95	31	FF	FF	FF	ˇˇˇï1ˇˇˇ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
           8	    	17:20:55	717.620	          0.696	                                        	 217972970	 00CFE00EA	L   	  8	9D	01	EE	00	FF	FF	00	00	ù_Ó_ˇˇ__	234     	65024       	Generator Phase B Basic AC Quantities                       	GLOBAL  	65024       	Generator Phase B Basic AC Quantities                       	                                                            	Available                                         	
           9	    	17:20:55	735.384	         17.764	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Õˇˇˇˇˇˇˇ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
