[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\CAT-3406-365K-2013.csplog
[F2] Split file series:       	CAT-3406-275K-2008.csplog
[F3] File serial number:      	-1
[F4] Id-Description file:     	<none>
[F9] plugin:                  	J1939; Version: 1.0.0; publisher: esd gmbh; library: J1939Plugin.dll
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	04.07.2017
[F8] File time:               	14:47:12
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	03000000
[S8] OS:                      	Unsupported Windows Version 6.2  (6,2,9200,2,[])
[S9] CANreal:                 	4.84
[SA] Features:                	0072 ( 2b Ts Lo )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time	Description	CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	Source	Raw PGN	Raw PGN Description	Dest	PGN	PGN Description	Details	Ext. Details	
         Num	Trig	     Abs	Msec	            Rel	                                    Desc	     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	SA      	Raw PGN     	Raw Descr.                                                  	DA      	PGN         	PGN Description                                             	Details                                                     	DetailsEx                                         	
           1	    	14:47:12	049.834	         23.834	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
           2	    	14:47:12	050.570	          0.736	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	33	31	FF	FF	FF	ÿÿÿ31ÿÿÿ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
           3	    	14:47:12	051.330	          0.760	                                        	 217945066	 00CFD93EA	L   	  8	D3	FF	FF	FF	FF	FF	FF	FF	Óÿÿÿÿÿÿÿ	234     	64915       	                                                            	GLOBAL  	64915       	                                                            	                                                            	                                                  	
           4	    	14:47:12	052.039	          0.709	                                        	 486459370	 01CFEC7EA	L   	  8	FF	FF	FF	FF	FF	CF	FF	FF	ÿÿÿÿÿÏÿÿ	234     	65223       	Electronic Transmission Controller 3                        	GLOBAL  	65223       	Electronic Transmission Controller 3                        	                                                            	Available                                         	
           5	    	14:47:12	052.803	          0.764	                                        	 218039018	 00CFF02EA	L   	  8	00	DC	00	00	FF	FF	FF	FF	_Ü__ÿÿÿÿ	234     	65282       	Proprietary B                                               	GLOBAL  	65282       	Proprietary B                                               	                                                            	                                                  	
           6	    	14:47:12	096.081	         43.278	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
           7	    	14:47:12	096.862	          0.781	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	32	31	FF	FF	FF	ÿÿÿ21ÿÿÿ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
           8	    	14:47:12	098.066	          1.204	                                        	 217974506	 00CFE06EA	L   	  8	95	01	EA	00	4B	1A	00	00	•_ê_K___	234     	65030       	Generator Average Basic AC Quantities                       	GLOBAL  	65030       	Generator Average Basic AC Quantities                       	                                                            	Available                                         	
           9	    	14:47:12	176.229	         78.163	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
          10	    	14:47:12	176.959	          0.730	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	33	31	FF	FF	FF	ÿÿÿ31ÿÿÿ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
          11	    	14:47:12	177.668	          0.709	                                        	 217944810	 00CFD92EA	L   	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	234     	64914       	Engine Operating Information                                	GLOBAL  	64914       	Engine Operating Information                                	                                                            	Available                                         	
          12	    	14:47:12	178.376	          0.708	                                        	 217945066	 00CFD93EA	L   	  8	D3	FF	FF	FF	FF	FF	FF	FF	Óÿÿÿÿÿÿÿ	234     	64915       	                                                            	GLOBAL  	64915       	                                                            	                                                            	                                                  	
          13	    	14:47:12	179.076	          0.700	                                        	 217973738	 00CFE03EA	L   	  8	95	01	EB	00	FF	FF	00	00	•_ë_ÿÿ__	234     	65027       	Generator Phase A Basic AC Quantities                       	GLOBAL  	65027       	Generator Phase A Basic AC Quantities                       	                                                            	Available                                         	
          14	    	14:47:12	179.796	          0.720	                                        	 218039018	 00CFF02EA	L   	  8	00	DC	00	00	FF	FF	FF	FF	_Ü__ÿÿÿÿ	234     	65282       	Proprietary B                                               	GLOBAL  	65282       	Proprietary B                                               	                                                            	                                                  	
          15	    	14:47:12	195.280	         15.484	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
          16	    	14:47:12	196.012	          0.732	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	33	31	FF	FF	FF	ÿÿÿ31ÿÿÿ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
          17	    	14:47:12	252.834	         56.822	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
          18	    	14:47:12	253.618	          0.784	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	31	31	FF	FF	FF	ÿÿÿ11ÿÿÿ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
          19	    	14:47:12	254.327	          0.709	                                        	 217945066	 00CFD93EA	L   	  8	D3	FF	FF	FF	FF	FF	FF	FF	Óÿÿÿÿÿÿÿ	234     	64915       	                                                            	GLOBAL  	64915       	                                                            	                                                            	                                                  	
          20	    	14:47:12	255.119	          0.792	                                        	 486459370	 01CFEC7EA	L   	  8	FF	FF	FF	FF	FF	CF	FF	FF	ÿÿÿÿÿÏÿÿ	234     	65223       	Electronic Transmission Controller 3                        	GLOBAL  	65223       	Electronic Transmission Controller 3                        	                                                            	Available                                         	
          21	    	14:47:12	256.039	          0.920	                                        	 218039018	 00CFF02EA	L   	  8	00	DC	00	00	FF	FF	FF	FF	_Ü__ÿÿÿÿ	234     	65282       	Proprietary B                                               	GLOBAL  	65282       	Proprietary B                                               	                                                            	                                                  	
          22	    	14:47:12	296.050	         40.011	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
          23	    	14:47:12	296.782	          0.732	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	2F	31	FF	FF	FF	ÿÿÿ/1ÿÿÿ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
          24	    	14:47:12	297.542	          0.760	                                        	 419360746	 018FEEFEA	L   	  8	FF	FF	FF	7D	FF	FF	FF	FF	ÿÿÿ}ÿÿÿÿ	234     	65263       	Engine Fluid Level/Pressure 1                               	GLOBAL  	65263       	Engine Fluid Level/Pressure 1                               	                                                            	Available                                         	
          25	    	14:47:12	376.451	         78.909	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
          26	    	14:47:12	377.184	          0.733	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	2E	31	FF	FF	FF	ÿÿÿ.1ÿÿÿ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
          27	    	14:47:12	377.892	          0.708	                                        	 217945066	 00CFD93EA	L   	  8	D3	FF	FF	FF	FF	FF	FF	FF	Óÿÿÿÿÿÿÿ	234     	64915       	                                                            	GLOBAL  	64915       	                                                            	                                                            	                                                  	
          28	    	14:47:12	378.604	          0.712	                                        	 218039018	 00CFF02EA	L   	  8	00	DC	00	00	FF	FF	FF	FF	_Ü__ÿÿÿÿ	234     	65282       	Proprietary B                                               	GLOBAL  	65282       	Proprietary B                                               	                                                            	                                                  	
          29	    	14:47:12	394.460	         15.856	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
