[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\CAT-3406-365K-2008.csplog
[F2] Split file series:       	CAT-.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	04.07.2017
[F8] File time:               	17:20:55
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 8  (6,2,9200,2,[])
[S9] CANreal:                 	4.84
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
           1	    	17:20:55	636.452	         18.452		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
           2	    	17:20:55	637.189	          0.737		 217056490	  0CF004EA	L     	  8	FF	FF	FF	94	31	FF	FF	FF	яяя”1яяя	
           3	    	17:20:55	637.949	          0.760		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	Уяяяяяяя	
           4	    	17:20:55	638.645	          0.696		 217972202	  0CFDFDEA	L     	  8	9C	01	EE	00	FF	FF	00	00	њ_о_яя__	
           5	    	17:20:55	639.405	          0.760		 218039018	  0CFF02EA	L     	  8	00	C8	00	00	FF	FF	FF	FF	_И__яяяя	
           6	    	17:20:55	716.188	         76.783		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
           7	    	17:20:55	716.924	          0.736		 217056490	  0CF004EA	L     	  8	FF	FF	FF	95	31	FF	FF	FF	яяя•1яяя	
           8	    	17:20:55	717.620	          0.696		 217972970	  0CFE00EA	L     	  8	9D	01	EE	00	FF	FF	00	00	ќ_о_яя__	
           9	    	17:20:55	735.384	         17.764		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          10	    	17:20:55	736.124	          0.740		 217056490	  0CF004EA	L     	  8	FF	FF	FF	95	31	FF	FF	FF	яяя•1яяя	
          11	    	17:20:55	736.832	          0.708		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	Уяяяяяяя	
          12	    	17:20:55	737.541	          0.709		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	CF	FF	FF	яяяяяПяя	
          13	    	17:20:55	738.249	          0.708		 218039018	  0CFF02EA	L     	  8	00	C8	00	00	FF	FF	FF	FF	_И__яяяя	
          14	    	17:20:55	793.112	         54.863		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          15	    	17:20:55	793.900	          0.788		 217056490	  0CF004EA	L     	  8	FF	FF	FF	93	31	FF	FF	FF	яяя“1яяя	
          16	    	17:20:55	794.752	          0.852		 217974506	  0CFE06EA	L     	  8	9C	01	EE	00	72	1A	00	00	њ_о_r___	
          17	    	17:20:55	795.270	          0.518		 417988842	  18EA00EA	L     	  3	CB	FE	00	  	  	  	  	  	Лю_     	
          18	    	17:20:55	836.372	         41.102		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          19	    	17:20:55	837.108	          0.736		 217056490	  0CF004EA	L     	  8	FF	FF	FF	8F	31	FF	FF	FF	яяяЏ1яяя	
          20	    	17:20:55	837.868	          0.760		 217944810	  0CFD92EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	яяяяяяяя	
          21	    	17:20:55	838.576	          0.708		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	Уяяяяяяя	
          22	    	17:20:55	839.377	          0.801		 217973738	  0CFE03EA	L     	  8	9C	01	EE	00	FF	FF	00	00	њ_о_яя__	
