[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\CAT-3406-365K-2013.csplog
[F2] Split file series:       	CAT-3406-275K-2008.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	04.07.2017
[F8] File time:               	14:47:12
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 8  (6,2,9200,2,[])
[S9] CANreal:                 	4.84
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
           1	    	14:47:12	049.834	         23.834		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	
           2	    	14:47:12	050.570	          0.736		 217056490	  0CF004EA	L     	  8	FF	FF	FF	33	31	FF	FF	FF	ÿÿÿ31ÿÿÿ	
           3	    	14:47:12	051.330	          0.760		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	Óÿÿÿÿÿÿÿ	
           4	    	14:47:12	052.039	          0.709		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	CF	FF	FF	ÿÿÿÿÿÏÿÿ	
           5	    	14:47:12	052.803	          0.764		 218039018	  0CFF02EA	L     	  8	00	DC	00	00	FF	FF	FF	FF	_Ü__ÿÿÿÿ	
           6	    	14:47:12	096.081	         43.278		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	
           7	    	14:47:12	096.862	          0.781		 217056490	  0CF004EA	L     	  8	FF	FF	FF	32	31	FF	FF	FF	ÿÿÿ21ÿÿÿ	
           8	    	14:47:12	098.066	          1.204		 217974506	  0CFE06EA	L     	  8	95	01	EA	00	4B	1A	00	00	•_ê_K___	
           9	    	14:47:12	176.229	         78.163		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	
          10	    	14:47:12	176.959	          0.730		 217056490	  0CF004EA	L     	  8	FF	FF	FF	33	31	FF	FF	FF	ÿÿÿ31ÿÿÿ	
          11	    	14:47:12	177.668	          0.709		 217944810	  0CFD92EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	
          12	    	14:47:12	178.376	          0.708		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	Óÿÿÿÿÿÿÿ	
          13	    	14:47:12	179.076	          0.700		 217973738	  0CFE03EA	L     	  8	95	01	EB	00	FF	FF	00	00	•_ë_ÿÿ__	
          14	    	14:47:12	179.796	          0.720		 218039018	  0CFF02EA	L     	  8	00	DC	00	00	FF	FF	FF	FF	_Ü__ÿÿÿÿ	
          15	    	14:47:12	195.280	         15.484		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	
          16	    	14:47:12	196.012	          0.732		 217056490	  0CF004EA	L     	  8	FF	FF	FF	33	31	FF	FF	FF	ÿÿÿ31ÿÿÿ	
          17	    	14:47:12	252.834	         56.822		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Íÿÿÿÿÿÿÿ	
          18	    	14:47:12	253.618	          0.784		 217056490	  0CF004EA	L     	  8	FF	FF	FF	31	31	FF	FF	FF	ÿÿÿ11ÿÿÿ	
          19	    	14:47:12	254.327	          0.709		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	Óÿÿÿÿÿÿÿ	
