[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\CAT-C15-500K-2007.csplog
[F2] Split file series:       	CAT-C15-500K-2007.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	09.07.2017
[F8] File time:               	15:10:59
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 8  (6,2,9200,2,[])
[S9] CANreal:                 	4.84
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
           1	    	15:10:59	212.277	         21.277		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
           2	    	15:10:59	228.738	         16.461		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
           3	    	15:10:59	242.622	         13.884		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
           4	    	15:10:59	243.334	          0.712		 217056000	  0CF00300	L     	  8	FF	FE	00	FF	FF	FF	FF	FF	ÿþ_ÿÿÿÿÿ	
           5	    	15:10:59	244.047	          0.713		 218029824	  0CFEDF00	L     	  8	83	80	0C	FF	FF	FF	FF	FF	€_ÿÿÿÿÿ	
           6	    	15:10:59	244.755	          0.708		 419361280	  18FEF200	L     	  8	00	00	FF	FF	FF	FF	FF	FF	__ÿÿÿÿÿÿ	
           7	    	15:10:59	245.451	          0.696		 419362304	  18FEF600	L     	  8	FF	00	5E	31	FF	FF	FF	FF	ÿ_^1ÿÿÿÿ	
           8	    	15:10:59	246.160	          0.709		 486445568	  1CFE9200	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	
           9	    	15:10:59	246.864	          0.704		 217944576	  0CFD9200	L     	  8	F0	FF	FF	FF	FF	FF	FF	FF	๐ÿÿÿÿÿÿÿ	
          10	    	15:10:59	247.440	          0.576		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          11	    	15:10:59	248.032	          0.592		 418119424	  18EBFF00	L     	  8	04	00	00	00	00	00	00	00	________	
          12	    	15:10:59	248.609	          0.577		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          13	    	15:10:59	249.489	          0.880		 217972970	  0CFE00EA	L     	  8	00	00	00	00	FF	FF	00	00	____ÿÿ__	
          14	    	15:10:59	250.365	          0.876		 419360746	  18FEEFEA	L     	  8	FF	FF	FF	00	FF	FF	FF	FF	ÿÿÿ_ÿÿÿÿ	
          15	    	15:10:59	251.049	          0.684		 417989098	  18EA01EA	L     	  3	CB	FE	00	  	  	  	  	  	หþ_     	
          16	    	15:10:59	258.402	          7.353		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
          17	    	15:10:59	272.318	         13.916		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
          18	    	15:10:59	290.207	         17.889		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
          19	    	15:10:59	291.291	          1.084		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          20	    	15:10:59	292.099	          0.808		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          21	    	15:10:59	292.972	          0.873		 217945066	  0CFD93EA	L     	  8	F0	FF	FF	FF	FF	FF	FF	FF	๐ÿÿÿÿÿÿÿ	
          22	    	15:10:59	293.860	          0.888		 217973738	  0CFE03EA	L     	  8	00	00	00	00	FF	FF	00	00	____ÿÿ__	
          23	    	15:10:59	302.564	          8.704		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
          24	    	15:10:59	303.276	          0.712		 217056000	  0CF00300	L     	  8	FF	FE	00	FF	FF	FF	FF	FF	ÿþ_ÿÿÿÿÿ	
          25	    	15:10:59	303.973	          0.697		 419362304	  18FEF600	L     	  8	FF	00	5E	31	FF	FF	FF	FF	ÿ_^1ÿÿÿÿ	
          26	    	15:10:59	304.685	          0.712		 418119424	  18EBFF00	L     	  8	05	00	00	00	00	00	00	FF	_______ÿ	
          27	    	15:10:59	319.117	         14.432		 419351296	  18FECB00	L     	  8	C1	FF	5B	00	08	01	FF	FF	มÿ[___ÿÿ	
          28	    	15:10:59	319.818	          0.701		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
          29	    	15:10:59	320.518	          0.700		 218024448	  0CFECA00	L     	  8	C1	FF	5B	00	08	01	FF	FF	มÿ[___ÿÿ	
          30	    	15:10:59	332.386	         11.868		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
          31	    	15:10:59	348.070	         15.684		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          32	    	15:10:59	348.983	          0.913		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          33	    	15:10:59	349.559	          0.576		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
          34	    	15:10:59	350.143	          0.584		 217974506	  0CFE06EA	L     	  8	00	00	00	00	00	00	00	00	________	
          35	    	15:10:59	350.733	          0.590		 419361280	  18FEF200	L     	  8	00	00	FF	FF	FF	FF	FF	FF	__ÿÿÿÿÿÿ	
          36	    	15:10:59	351.435	          0.702		 486445568	  1CFE9200	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	
          37	    	15:10:59	358.032	          6.597		 419351274	  18FECAEA	L     	  8	C7	FF	A7	0F	1F	63	FF	FF	วÿง__cÿÿ	
          38	    	15:10:59	362.520	          4.488		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
          39	    	15:10:59	363.233	          0.713		 217056000	  0CF00300	L     	  8	FF	FE	00	FF	FF	FF	FF	FF	ÿþ_ÿÿÿÿÿ	
          40	    	15:10:59	363.928	          0.695		 419362304	  18FEF600	L     	  8	FF	00	5E	31	FF	FF	FF	FF	ÿ_^1ÿÿÿÿ	
          41	    	15:10:59	378.485	         14.557		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
          42	    	15:10:59	392.205	         13.720		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          43	    	15:10:59	392.781	          0.576		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
          44	    	15:10:59	393.358	          0.577		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          45	    	15:10:59	394.334	          0.976		 217945066	  0CFD93EA	L     	  8	F0	FF	FF	FF	FF	FF	FF	FF	๐ÿÿÿÿÿÿÿ	
          46	    	15:10:59	395.266	          0.932		 217972202	  0CFDFDEA	L     	  8	00	00	00	00	FF	FF	00	00	____ÿÿ__	
          47	    	15:10:59	396.242	          0.976		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	DF	FF	FF	ÿÿÿÿÿ฿ÿÿ	
          48	    	15:10:59	410.010	         13.768		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
          49	    	15:10:59	422.563	         12.553		 217056256	  0CF00400	L     	  8	FF	FF	7D	00	00	FF	0F	FF	ÿÿ}__ÿ_ÿ	
          50	    	15:10:59	423.275	          0.712		 217056000	  0CF00300	L     	  8	FF	FE	00	FF	FF	FF	FF	FF	ÿþ_ÿÿÿÿÿ	
