[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\CAT-C32-1000K-xyz.csplog
[F2] Split file series:       	CAT-C32-1000K-xyz.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	17.07.2017
[F8] File time:               	17:09:06
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 7 Service Pack 1 (6,1,7601,2,[Service Pack 1])
[S9] CANreal:                 	4.84
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
           1	    	17:09:06	289.390	         45.390		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
           2	    	17:09:06	349.812	         60.422		 419358442	  18FEE6EA	L     	  8	40	0A	09	09	2A	0F	FF	FF	@___*_ÿÿ	
           3	    	17:09:06	350.695	          0.883		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
           4	    	17:09:06	392.055	         41.360		 217944554	  0CFD91EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	
           5	    	17:09:06	392.942	          0.887		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
           6	    	17:09:06	445.773	         52.831		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
           7	    	17:09:06	488.916	         43.143		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
           8	    	17:09:06	549.881	         60.965		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
           9	    	17:09:06	562.029	         12.148		 419351040	  18FECA00	L     	  8	C3	FF	00	00	00	00	FF	FF	Ãÿ____ÿÿ	
          10	    	17:09:06	562.917	          0.888		 419351041	  18FECA01	L     	  8	C3	FF	00	00	00	00	FF	FF	Ãÿ____ÿÿ	
          11	    	17:09:06	563.804	          0.887		 419351184	  18FECA90	L     	  8	C3	FF	00	00	00	00	FF	FF	Ãÿ____ÿÿ	
          12	    	17:09:06	564.729	          0.925		 419351276	  18FECAEC	L     	  8	C3	FF	00	00	00	00	FF	FF	Ãÿ____ÿÿ	
          13	    	17:09:06	565.658	          0.929		 418185194	  18ECFFEA	L     	  8	20	0E	00	02	FF	CA	FE	00	____ÿÊþ_	
          14	    	17:09:06	591.917	         26.259		 217944554	  0CFD91EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	
          15	    	17:09:06	592.802	          0.885		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          16	    	17:09:06	646.107	         53.305		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          17	    	17:09:06	696.169	         50.062		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          18	    	17:09:06	697.009	          0.840		 419357930	  18FEE4EA	L     	  8	FF	FF	FF	FF	FF	FF	FC	FF	ÿÿÿÿÿÿüÿ	
          19	    	17:09:06	698.046	          1.037		 418119658	  18EBFFEA	L     	  8	01	C7	FF	A7	0F	1F	63	58	_Çÿ§__cX	
          20	    	17:09:06	750.356	         52.310		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          21	    	17:09:06	755.728	          5.372		 418119658	  18EBFFEA	L     	  8	02	0A	1F	63	A7	00	11	63	___c§__c	
          22	    	17:09:06	793.979	         38.251		 217944554	  0CFD91EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	
          23	    	17:09:06	794.859	          0.880		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          24	    	17:09:06	845.433	         50.574		 419358442	  18FEE6EA	L     	  8	40	0A	09	09	2A	0F	FF	FF	@___*_ÿÿ	
          25	    	17:09:06	846.505	          1.072		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          26	    	17:09:06	888.256	         41.751		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          27	    	17:09:06	959.117	         70.861		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          28	    	17:09:06	992.088	         32.971		 217944554	  0CFD91EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	
          29	    	17:09:06	992.968	          0.880		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          30	    	17:09:06	993.849	          0.881		 419362794	  18FEF7EA	L     	  8	FF	FF	FF	FF	FA	01	FA	01	ÿÿÿÿú_ú_	
          31	    	17:09:07	045.519	         51.670		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          32	    	17:09:07	088.109	         42.590		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          33	    	17:09:07	149.763	         61.654		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          34	    	17:09:07	192.257	         42.494		 217944554	  0CFD91EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	
          35	    	17:09:07	193.246	          0.989		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          36	    	17:09:07	243.348	         50.102		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          37	    	17:09:07	287.882	         44.534		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          38	    	17:09:07	348.888	         61.006		 419358442	  18FEE6EA	L     	  8	44	0A	09	09	2A	0F	FF	FF	D___*_ÿÿ	
          39	    	17:09:07	349.768	          0.880		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          40	    	17:09:07	391.098	         41.330		 217944554	  0CFD91EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	
          41	    	17:09:07	391.978	          0.880		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          42	    	17:09:07	444.024	         52.046		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          43	    	17:09:07	487.591	         43.567		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
          44	    	17:09:07	547.964	         60.373		 218034666	  0CFEF1EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	
