[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\OLY-GEP-80K-2013.csplog
[F2] Split file series:       	OLY-GEP-80K-2013.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	12.07.2017
[F8] File time:               	17:28:49
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 7 Service Pack 1 (6,1,7601,2,[Service Pack 1])
[S9] CANreal:                 	4.84
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
           1	    	17:28:49	951.308	         30.308		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
           2	    	17:28:49	951.890	          0.582		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
           3	    	17:28:49	966.457	         14.567		 217972202	  0CFDFDEA	L     	  8	00	00	00	00	FF	FF	00	00	____ÿÿ__	
           4	    	17:28:49	967.056	          0.599		 218039018	  0CFF02EA	L     	  8	80	DE	00	00	FF	FF	FF	FF	€Þ__ÿÿÿÿ	
           5	    	17:28:49	981.331	         14.275		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
           6	    	17:28:49	981.916	          0.585		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
           7	    	17:28:49	982.504	          0.588		 217945066	  0CFD93EA	L     	  8	D0	FF	FF	FF	FF	FF	FF	FF	ะÿÿÿÿÿÿÿ	
           8	    	17:28:50	011.268	         28.764		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
           9	    	17:28:50	011.853	          0.585		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          10	    	17:28:50	012.457	          0.604		 217972970	  0CFE00EA	L     	  8	00	00	00	00	FF	FF	00	00	____ÿÿ__	
          11	    	17:28:50	026.491	         14.034		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	DF	FF	FF	ÿÿÿÿÿ฿ÿÿ	
          12	    	17:28:50	027.056	          0.565		 419351274	  18FECAEA	L     	  8	C7	FF	A7	0F	1F	01	FF	FF	วÿง___ÿÿ	
          13	    	17:28:50	041.386	         14.330		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          14	    	17:28:50	041.970	          0.584		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          15	    	17:28:50	071.263	         29.293		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          16	    	17:28:50	071.847	          0.584		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          17	    	17:28:50	072.439	          0.592		 218039018	  0CFF02EA	L     	  8	80	DE	00	00	FF	FF	FF	FF	€Þ__ÿÿÿÿ	
          18	    	17:28:50	086.378	         13.939		 217945066	  0CFD93EA	L     	  8	D0	FF	FF	FF	FF	FF	FF	FF	ะÿÿÿÿÿÿÿ	
          19	    	17:28:50	101.276	         14.898		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          20	    	17:28:50	101.860	          0.584		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          21	    	17:28:50	102.257	          0.397		 417988842	  18EA00EA	L     	  3	CB	FE	00	  	  	  	  	  	หþ_     	
          22	    	17:28:50	116.387	         14.130		 217944810	  0CFD92EA	L     	  8	C0	FF	FF	FF	FF	FF	FF	FF	ภÿÿÿÿÿÿÿ	
          23	    	17:28:50	116.979	          0.592		 217974506	  0CFE06EA	L     	  8	00	00	00	00	00	00	00	00	________	
          24	    	17:28:50	131.342	         14.363		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          25	    	17:28:50	131.926	          0.584		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          26	    	17:28:50	161.223	         29.297		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          27	    	17:28:50	161.807	          0.584		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          28	    	17:28:50	162.407	          0.600		 217973738	  0CFE03EA	L     	  8	00	00	00	00	FF	FF	00	00	____ÿÿ__	
          29	    	17:28:50	176.416	         14.009		 419357930	  18FEE4EA	L     	  8	FF	FF	FF	FF	FF	FF	FC	FF	ÿÿÿÿÿÿüÿ	
          30	    	17:28:50	177.002	          0.586		 218039018	  0CFF02EA	L     	  8	80	DE	00	00	FF	FF	FF	FF	€Þ__ÿÿÿÿ	
          31	    	17:28:50	191.348	         14.346		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          32	    	17:28:50	191.932	          0.584		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          33	    	17:28:50	192.517	          0.585		 217945066	  0CFD93EA	L     	  8	D0	FF	FF	FF	FF	FF	FF	FF	ะÿÿÿÿÿÿÿ	
          34	    	17:28:50	221.229	         28.712		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          35	    	17:28:50	221.813	          0.584		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          36	    	17:28:50	222.412	          0.599		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	DF	FF	FF	ÿÿÿÿÿ฿ÿÿ	
          37	    	17:28:50	251.298	         28.886		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          38	    	17:28:50	251.883	          0.585		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          39	    	17:28:50	281.207	         29.324		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          40	    	17:28:50	281.791	          0.584		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          41	    	17:28:50	282.384	          0.593		 218039018	  0CFF02EA	L     	  8	80	DE	00	00	FF	FF	FF	FF	€Þ__ÿÿÿÿ	
