[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\OLY-GEp88--88K-2008.csplog
[F2] Split file series:       	OLY-GEp88--88K-2008.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	12.07.2017
[F8] File time:               	16:00:14
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 7 Service Pack 1 (6,1,7601,2,[Service Pack 1])
[S9] CANreal:                 	4.84
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
           1	    	16:00:14	445.100	         47.100		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
           2	    	16:00:14	445.953	          0.853		 217056490	  0CF004EA	L     	  8	FF	FF	FF	E8	30	FF	FF	FF	яяяи0яяя	
           3	    	16:00:14	447.237	          1.284		 217972970	  0CFE00EA	L     	  8	89	01	E0	00	FF	FF	00	00	‰_а_яя__	
           4	    	16:00:14	491.527	         44.290		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
           5	    	16:00:14	492.392	          0.865		 217056490	  0CF004EA	L     	  8	FF	FF	FF	E6	30	FF	FF	FF	яяяж0яяя	
           6	    	16:00:14	493.312	          0.920		 217062634	  0CF01CEA	L     	  8	00	32	00	00	FF	FF	FF	FF	_2__яяяя	
           7	    	16:00:14	494.240	          0.928		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	Уяяяяяяя	
           8	    	16:00:14	495.204	          0.964		 217973738	  0CFE03EA	L     	  8	92	01	EB	00	FF	FF	00	00	’_л_яя__	
           9	    	16:00:14	496.152	          0.948		 419360490	  18FEEEEA	L     	  8	61	FF	FF	FF	FF	FF	FF	FF	aяяяяяяя	
          10	    	16:00:14	497.085	          0.933		 218039018	  0CFF02EA	L     	  8	00	32	00	00	FF	FF	FF	FF	_2__яяяя	
          11	    	16:00:14	549.595	         52.510		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          12	    	16:00:14	550.395	          0.800		 217056490	  0CF004EA	L     	  8	FF	FF	FF	E5	30	FF	FF	FF	яяяе0яяя	
          13	    	16:00:14	551.259	          0.864		 217974506	  0CFE06EA	L     	  8	90	01	E7	00	1F	1A	00	00	ђ_з_____	
          14	    	16:00:14	552.139	          0.880		 419360746	  18FEEFEA	L     	  8	FF	FF	FF	61	FF	FF	FF	FF	яяяaяяяя	
          15	    	16:00:14	590.498	         38.359		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          16	    	16:00:14	591.294	          0.796		 217056490	  0CF004EA	L     	  8	FF	FF	FF	E7	30	FF	FF	FF	яяяз0яяя	
          17	    	16:00:14	592.162	          0.868		 217062634	  0CF01CEA	L     	  8	00	32	00	00	FF	FF	FF	FF	_2__яяяя	
          18	    	16:00:14	593.038	          0.876		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	Уяяяяяяя	
          19	    	16:00:14	593.899	          0.861		 217972202	  0CFDFDEA	L     	  8	97	01	EB	00	FF	FF	00	00	—_л_яя__	
          20	    	16:00:14	594.775	          0.876		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	CF	FF	FF	яяяяяПяя	
          21	    	16:00:14	595.635	          0.860		 419362794	  18FEF7EA	L     	  8	FF	FF	FF	FF	1A	01	1A	01	яяяя____	
          22	    	16:00:14	596.515	          0.880		 218039018	  0CFF02EA	L     	  8	00	32	00	00	FF	FF	FF	FF	_2__яяяя	
